Index,Manufacturer Part Number,Manufacturer Name,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference
1,24-6554-10,Aries Electronics,CONN IC DIP SOCKET ZIF 24POS TIN,,1,1,Tube,A300-ND,13.33000,$13.33,1,U2
2,292304-1,TE Connectivity AMP Connectors,CONN RCPT USB2.0 TYPEB 4POS R/A,,1,1,Tray,A31725-ND,2.19000,$2.19,1,X5
3,2761001112,Fair-Rite Products Corp.,FERRITE BEAD 53 OHM AXIAL 1LN,,1,1,Cut Tape (CT),1934-1423-1-ND,0.19000,$0.19,1,L1
4,ECS-184-20-3X-TR,ECS Inc.,CRYSTAL 18.4320MHZ 20PF SMD,,1,1,Cut Tape (CT),XC1777CT-ND,0.35000,$0.35,1,Y1
5,FT232RL-REEL,"FTDI, Future Technology Devices International Ltd",IC USB FS SERIAL UART 28-SSOP,,1,1,Cut Tape (CT),768-1007-1-ND,4.80000,$4.80,1,U3
6,ATMEGA644PA-AU,Microchip Technology,IC MCU 8BIT 64KB FLASH 44TQFP,,1,1,Tray,ATMEGA644PA-AU-ND,6.44000,$6.44,1,U1
7,CC1206KRX7R9BB103,YAGEO,CAP CER 10000PF 50V X7R 1206,,1,1,Cut Tape (CT),311-1174-1-ND,0.21000,$0.21,1,C10
8,C1206C200J5GAC7800,KEMET,CAP CER 20PF 50V C0G/NP0 1206,,2,2,Cut Tape (CT),399-C1206C200J5GAC7800CT-ND,0.41000,$0.82,1,"C2,C3"
9,CL31B475KAHNNNE,Samsung Electro-Mechanics,CAP CER 4.7UF 25V X7R 1206,,1,1,Cut Tape (CT),1276-1055-1-ND,0.18000,$0.18,1,C15
10,0901310123,Molex,CONN HEADER VERT 6POS 2.54MM,,1,1,Tray,WM8121-ND,0.99000,$0.99,1,J1
11,RC1206JR-0710KL,YAGEO,RES 10K OHM 5% 1/4W 1206,,1,1,Cut Tape (CT),311-10KERCT-ND,0.10000,$0.10,1,R1
12,RC1206JR-071KL,YAGEO,RES 1K OHM 5% 1/4W 1206,,1,1,Cut Tape (CT),311-1.0KERCT-ND,0.10000,$0.10,1,R3
13,RC1206JR-07100RL,YAGEO,RES 100 OHM 5% 1/4W 1206,,1,1,Cut Tape (CT),311-100ERCT-ND,0.10000,$0.10,1,R2
14,B3F-1020,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,,1,1,Bulk,SW402-ND,0.38000,$0.38,1,S1
15,CL31B104KBCNNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 1206,,4,4,Cut Tape (CT),1276-1017-1-ND,0.11000,$0.44,1,"C1, C4, C13, C14"
16,APT3216SGC,Kingbright,LED GREEN CLEAR CHIP SMD,,1,1,Cut Tape (CT),754-1141-1-ND,0.32000,$0.32,1,LED
17,PJ-002A,CUI Devices,CONN PWR JACK 2X5.5MM SOLDER,,1,1,Bag,CP-002A-ND,0.61000,$0.61,1,J2
18,ERJ-8ENF3300V,Panasonic Electronic Components,RES SMD 330 OHM 1% 1/4W 1206,,1,1,Cut Tape (CT),P330FCT-ND,0.18000,$0.18,1,R4
